label,t_ms,ax,ay,az
dysfunction,5650075,0.003540,0.008789,1.004028
dysfunction,5650095,0.000122,0.010376,1.000854
dysfunction,5650115,-0.004517,0.014526,1.004517
dysfunction,5650135,-0.001587,0.014160,1.001221
dysfunction,5650155,0.000122,0.013306,1.002075
dysfunction,5650175,0.000732,0.011108,1.000977
dysfunction,5650195,-0.000122,0.012451,1.002319
dysfunction,5650215,-0.001831,0.014038,1.001831
dysfunction,5650235,-0.000244,0.013062,1.001709
dysfunction,5650255,0.001587,0.011841,1.001221
dysfunction,5650275,0.000488,0.010742,1.001953
dysfunction,5650295,-0.000732,0.012817,1.002441
dysfunction,5650315,-0.000977,0.013550,1.002808
dysfunction,5650335,-0.000488,0.012939,1.003052
dysfunction,5650355,0.000854,0.011597,1.000488
dysfunction,5650375,0.000610,0.011841,1.001221
dysfunction,5650395,0.001099,0.015747,1.000610
dysfunction,5650415,-0.002441,0.015747,1.002686
dysfunction,5650435,-0.002197,0.012085,1.002808
dysfunction,5650455,0.000244,0.010620,1.001099
dysfunction,5650475,0.001343,0.012817,1.001465
dysfunction,5650495,-0.000366,0.014038,1.000977
dysfunction,5650515,-0.001587,0.016846,1.001831
dysfunction,5650535,-0.008301,0.010132,0.985352
dysfunction,5650555,0.004272,-0.048096,1.377441
dysfunction,5650575,0.088501,0.021484,1.024170
dysfunction,5650595,0.006226,0.017334,0.810913
dysfunction,5650615,-0.096924,-0.036621,0.853638
dysfunction,5650635,0.012451,0.065674,1.054077
dysfunction,5650655,0.017944,0.066895,1.017212
dysfunction,5650675,0.093872,0.019897,1.140747
dysfunction,5650695,-0.100830,-0.069458,0.918091
dysfunction,5650715,-0.079102,-0.064941,0.922607
dysfunction,5650735,0.137207,0.137329,0.684570
dysfunction,5650755,-0.050293,0.113403,0.732422
dysfunction,5650775,-0.115112,-0.025879,1.270752
dysfunction,5650795,-0.023560,0.021240,1.261475
dysfunction,5650815,0.022339,-0.049561,1.034912
dysfunction,5650835,0.018921,-0.043701,1.038330
dysfunction,5650855,-0.070923,0.043335,0.811646
dysfunction,5650875,0.081055,0.058960,1.138794
dysfunction,5650895,0.073975,0.063232,1.101563
dysfunction,5650915,0.014648,-0.036011,1.088623
dysfunction,5650935,-0.157227,-0.125732,0.539429
dysfunction,5650955,-0.185547,-0.370728,0.749756
dysfunction,5650975,-0.144531,-0.047363,1.267944
dysfunction,5650995,0.017944,0.006104,0.976685
dysfunction,5651015,-0.058472,0.026245,0.950195
dysfunction,5651035,-0.023437,0.012939,0.992432
dysfunction,5651055,-0.005737,0.003784,1.074097
dysfunction,5651075,0.014282,0.051147,1.035034
dysfunction,5651095,0.047974,-0.024170,1.058105
dysfunction,5651115,0.018921,-0.027832,1.085815
dysfunction,5651135,-0.167236,-0.017456,0.589111
dysfunction,5651155,-0.018188,0.143677,0.390503
dysfunction,5651175,-0.097168,0.034180,1.299438
dysfunction,5651195,0.080566,-0.002563,1.117798
dysfunction,5651215,0.127197,0.052246,1.060181
dysfunction,5651235,-0.107422,-0.039185,0.892822
dysfunction,5651255,-0.101563,-0.050293,0.901245
dysfunction,5651275,0.019653,0.082031,0.970337
dysfunction,5651295,0.003906,0.078247,0.956055
dysfunction,5651315,0.085205,0.025024,1.151245
dysfunction,5651335,-0.145386,0.107544,2.025146
dysfunction,5651355,0.017578,0.130249,0.721558
dysfunction,5651375,-0.168579,-0.038818,1.188721
dysfunction,5651395,-0.055420,0.041016,1.031372
dysfunction,5651415,0.149292,0.104370,1.091431
dysfunction,5651435,0.084961,0.067261,1.069946
dysfunction,5651455,-0.037231,-0.053955,1.003906
dysfunction,5651475,-0.031738,-0.068604,1.062256
dysfunction,5651495,-0.067871,0.015015,0.872925
dysfunction,5651515,0.174072,0.160278,1.404053
dysfunction,5651535,0.145386,0.245728,0.708740
dysfunction,5651555,-0.077271,-0.044922,1.430542
dysfunction,5651575,0.002930,-0.004272,1.156128
dysfunction,5651595,0.071655,0.039917,0.890625
dysfunction,5651615,0.023315,0.016846,0.936646
dysfunction,5651635,-0.019775,0.029175,0.986450
