label,t_ms,ax,ay,az
normal,5215835,0.003540,0.017334,0.988892
normal,5215855,-0.002197,0.039917,0.998169
normal,5215875,0.012573,0.063843,1.005249
normal,5215895,0.049438,-0.031372,1.101318
normal,5215915,0.053223,-0.029785,1.104736
normal,5215935,-0.035156,0.003540,0.932251
normal,5215955,-0.005005,0.077393,0.958252
normal,5215975,-0.010376,0.079590,0.948120
normal,5215995,0.060303,-0.012207,1.106567
normal,5216015,0.061401,-0.005615,1.103149
normal,5216035,-0.016235,-0.028320,0.979614
normal,5216055,-0.010498,-0.035156,0.994751
normal,5216075,-0.029541,0.075439,0.913452
normal,5216095,-0.032593,0.071289,0.909546
normal,5216115,0.053467,0.027954,1.076050
normal,5216135,0.007446,-0.046021,1.030640
normal,5216155,0.016235,-0.046997,1.044922
normal,5216175,-0.040405,0.058350,0.900757
normal,5216195,-0.041626,0.052002,0.902710
normal,5216215,0.033936,0.057373,1.032715
normal,5216235,0.031006,0.061768,1.025391
normal,5216255,0.038696,-0.043823,1.085327
normal,5216275,0.051758,-0.040649,1.091064
normal,5216295,-0.040283,0.023560,0.916870
normal,5216315,0.010132,0.074219,0.983032
normal,5216335,0.005005,0.076294,0.974854
normal,5216355,0.055176,-0.026978,1.105103
normal,5216375,0.057495,-0.020752,1.106934
normal,5216395,-0.028931,-0.010254,0.952515
normal,5216415,-0.023071,-0.019287,0.967407
normal,5216435,-0.020386,0.065430,0.933716
normal,5216455,0.006714,0.014893,0.999146
normal,5216475,0.006958,0.018188,1.001587
normal,5216495,0.007813,0.018799,1.003174
normal,5216515,0.006348,0.017090,1.000854
normal,5216535,0.007690,0.017456,1.000854
normal,5216555,0.006958,0.017212,1.001709
normal,5216575,0.006836,0.018066,1.001221
normal,5216595,0.006348,0.017334,1.001221
normal,5216615,0.007202,0.018066,1.000732
normal,5216635,0.007080,0.017700,1.001099
normal,5216655,0.006714,0.017578,1.000977
normal,5216675,0.006348,0.017090,1.000977
normal,5216695,0.007202,0.017578,1.000854
normal,5216715,0.006348,0.016968,1.000854
normal,5216735,0.006714,0.017700,1.000854
normal,5216755,0.006226,0.017578,1.000732
normal,5216775,0.005737,0.017822,1.001221
normal,5216795,0.006470,0.017456,1.000977
normal,5216815,0.006836,0.017578,1.001099
normal,5216835,0.008057,0.017212,1.000977
normal,5216855,0.007080,0.016968,1.000732
normal,5216875,0.006470,0.017700,1.000854
normal,5216895,0.010376,0.011353,1.008423
normal,5216915,0.028564,-0.024170,1.036255
normal,5216935,-0.040771,0.055176,0.901123
normal,5216955,-0.041748,0.052124,0.902832
normal,5216975,0.036743,0.054565,1.041992
normal,5216995,0.029541,-0.045654,1.069336
normal,5217015,0.036499,-0.043701,1.081421
normal,5217035,-0.042358,0.033691,0.909302
normal,5217055,-0.041504,0.024658,0.915039
normal,5217075,0.012207,0.073242,0.989868
normal,5217095,0.006592,0.074707,0.979858
normal,5217115,0.054443,-0.028076,1.104370
normal,5217135,0.056519,-0.024902,1.106689
normal,5217155,-0.030029,-0.007935,0.948364
normal,5217175,-0.011475,0.079468,0.942139
normal,5217195,-0.016235,0.077881,0.935913
normal,5217215,0.060547,-0.003418,1.101318
normal,5217235,0.060181,0.002319,1.098633
normal,5217255,-0.010132,-0.035522,0.996094
normal,5217275,-0.003174,-0.041504,1.009521
normal,5217295,-0.032837,0.071289,0.908325
normal,5217315,0.052734,0.065674,0.904663
normal,5217335,0.050049,0.036743,1.066284
normal,5217355,0.015991,-0.047119,1.044800
normal,5217375,0.022583,-0.048096,1.057617
normal,5217395,-0.010132,0.030640,0.985718
normal,5217415,0.004150,0.016235,1.003540
normal,5217435,0.006470,0.016968,1.000854
normal,5217455,0.006470,0.017578,1.001465
normal,5217475,0.009277,0.026001,1.007324
normal,5217495,0.029541,0.045410,1.054565
normal,5217515,0.020752,-0.046509,1.047729
normal,5217535,-0.040894,0.053467,0.899780
normal,5217555,-0.041138,0.046265,0.904907
normal,5217575,0.031982,0.059326,1.030029
normal,5217595,0.024292,0.066528,1.013428
normal,5217615,0.041016,-0.041138,1.089355
normal,5217635,0.046875,-0.036865,1.096069
normal,5217655,-0.039429,0.015259,0.923340
normal,5217675,0.006348,0.075684,0.977783
normal,5217695,-0.001831,0.077759,0.962524
normal,5217715,0.057617,-0.023071,1.106079
normal,5217735,0.058350,-0.015991,1.106079
normal,5217755,-0.025146,-0.016479,0.963379
normal,5217775,-0.020630,-0.023926,0.972412
normal,5217795,-0.023071,0.077026,0.924316
normal,5217815,-0.025757,0.074829,0.919067
normal,5217835,0.057861,0.014038,1.089355
normal,5217855,-0.001221,-0.041504,1.013062
normal,5217875,0.003906,-0.045288,1.021851
normal,5217895,-0.036743,0.066040,0.904907
normal,5217915,-0.039551,0.062134,0.902222
normal,5217935,0.044556,0.046753,1.055420
normal,5217955,0.038086,0.052979,1.043213
normal,5217975,0.028320,-0.046875,1.068726
normal,5217995,0.036255,-0.045288,1.081055
normal,5218015,-0.042603,0.036499,0.907715
normal,5218035,0.021362,0.067505,1.007202
normal,5218055,0.014526,0.072266,0.994019
normal,5218075,0.032593,-0.018433,1.055176
normal,5218095,0.006958,0.016724,1.002197
normal,5218115,0.005981,0.016724,1.001343
