label,t_ms,ax,ay,az
off,4269095,0.000732,-0.013916,1.004761
off,4269115,-0.001587,-0.015137,1.004639
off,4269135,0.000977,-0.014893,1.005249
off,4269155,0.001099,-0.016357,1.003418
off,4269175,-0.000610,-0.012573,1.004395
off,4269195,-0.000610,-0.013794,1.002808
off,4269215,0.000732,-0.015381,1.005005
off,4269235,0.001465,-0.014771,1.004028
off,4269255,0.002808,-0.015991,1.004150
off,4269275,0.000854,-0.014893,1.003906
off,4269295,-0.001831,-0.014160,1.003418
off,4269315,-0.000610,-0.013794,1.004150
off,4269335,0.001465,-0.014648,1.004272
off,4269355,0.001709,-0.015259,1.004761
off,4269375,0.001343,-0.015747,1.003540
off,4269395,0.000122,-0.013916,1.004150
off,4269415,0.000000,-0.013672,1.003906
off,4269435,0.000488,-0.014526,1.004517
off,4269455,0.002686,-0.015747,1.003784
off,4269475,0.000977,-0.015747,1.004639
off,4269495,0.000854,-0.014648,1.003296
off,4269515,0.000000,-0.013916,1.004395
off,4269535,0.000000,-0.012695,1.004761
off,4269555,0.000977,-0.014771,1.004517
off,4269575,0.001587,-0.015015,1.004395
off,4269595,0.001953,-0.015381,1.004761
off,4269615,0.001221,-0.014771,1.004272
off,4269635,0.000610,-0.014282,1.004272
off,4269655,0.000122,-0.014160,1.004639
off,4269675,0.000366,-0.014771,1.004150
off,4269695,0.000854,-0.015625,1.003540
off,4269715,0.000732,-0.014526,1.004761
off,4269735,0.000732,-0.013794,1.003418
off,4269755,0.000244,-0.014160,1.003540
off,4269775,0.000732,-0.015015,1.003174
off,4269795,0.000732,-0.014282,1.004761
off,4269815,0.000610,-0.015259,1.005005
off,4269835,0.000977,-0.014404,1.004272
off,4269855,0.001831,-0.014282,1.003784
off,4269875,0.000977,-0.014648,1.003540
off,4269895,0.000244,-0.014893,1.004761
off,4269915,0.000610,-0.015625,1.004883
off,4269935,0.000610,-0.014771,1.005371
off,4269955,0.000488,-0.014526,1.004395
off,4269975,0.000854,-0.014038,1.004395
off,4269995,0.000488,-0.015625,1.004395
off,4270015,0.000366,-0.015015,1.005005
off,4270035,0.000122,-0.015503,1.003174
off,4270055,0.001099,-0.015381,1.003662
off,4270075,0.000610,-0.014893,1.004150
off,4270095,0.000732,-0.014282,1.003174
off,4270115,0.000488,-0.014771,1.003906
off,4270135,-0.000122,-0.014404,1.003784
off,4270155,0.000854,-0.014771,1.004517
off,4270175,0.000122,-0.014526,1.004761
off,4270195,0.000610,-0.015015,1.004761
off,4270215,0.000732,-0.015503,1.004639
off,4270235,0.000732,-0.015015,1.003540
off,4270255,0.000366,-0.014526,1.003784
off,4270275,0.000244,-0.014648,1.004272
off,4270295,0.001221,-0.014038,1.005127
off,4270315,0.000610,-0.014771,1.003906
off,4270335,0.000732,-0.015137,1.003906
off,4270355,0.000000,-0.015381,1.004150
off,4270375,-0.000122,-0.014404,1.004395
off,4270395,0.000977,-0.015259,1.004761
off,4270415,0.000610,-0.015869,1.003906
off,4270435,0.000488,-0.014771,1.004150
off,4270455,0.001221,-0.015015,1.004028
off,4270475,0.000732,-0.014893,1.004150
off,4270495,0.000610,-0.014648,1.004395
off,4270515,0.000244,-0.014771,1.004028
off,4270535,0.000488,-0.014282,1.004272
off,4270555,0.000366,-0.015259,1.004150
off,4270575,0.000977,-0.014893,1.004028
off,4270595,0.000244,-0.014893,1.004395
off,4270615,0.000732,-0.015137,1.003296
off,4270635,0.000732,-0.014771,1.004517
off,4270655,0.000366,-0.015381,1.005127
off,4270675,0.000854,-0.014893,1.004272
off,4270695,0.000366,-0.014771,1.004028
off,4270715,0.000122,-0.015259,1.004272
off,4270735,0.000366,-0.014893,1.004517
off,4270755,0.000366,-0.014404,1.004272
off,4270775,0.000854,-0.014526,1.004761
off,4270795,0.000244,-0.014160,1.004761
off,4270815,0.000244,-0.014771,1.004517
off,4270835,0.000244,-0.013916,1.004761
off,4270855,0.000122,-0.014282,1.004517
off,4270875,-0.000366,-0.014404,1.003906
off,4270895,0.000854,-0.015381,1.004272
off,4270915,0.000732,-0.014282,1.003784
off,4270935,0.000122,-0.015137,1.004883
off,4270955,0.000366,-0.015625,1.004761
off,4270975,0.000488,-0.015137,1.004883
off,4270995,0.000732,-0.014038,1.004517
off,4271015,0.000610,-0.014648,1.004395
off,4271035,0.000610,-0.015259,1.003540
off,4271055,0.000244,-0.014282,1.004028
off,4271075,0.000000,-0.014526,1.004272
off,4271095,0.000000,-0.015381,1.003906
off,4271115,0.000488,-0.015015,1.003784
off,4271135,0.001587,-0.015259,1.004395
off,4271155,0.000366,-0.015137,1.005249
off,4271175,0.000000,-0.013916,1.002563
off,4271195,-0.000732,-0.013184,1.005005
off,4271215,0.000854,-0.014893,1.004395
off,4271235,0.001221,-0.014526,1.005859
off,4271255,0.000732,-0.014771,1.004272
off,4271275,0.000366,-0.015137,1.004761
off,4271295,0.000732,-0.014160,1.003540
off,4271315,0.000000,-0.015015,1.004272
off,4271335,0.000610,-0.014404,1.004028
off,4271355,0.000610,-0.015015,1.003418
off,4271375,0.000488,-0.014404,1.003906
off,4271395,0.000854,-0.015137,1.004517
off,4271415,0.000366,-0.014526,1.004395
off,4271435,0.000732,-0.014893,1.004272
off,4271455,0.000000,-0.014526,1.004883
off,4271475,0.000610,-0.014160,1.004150
off,4271495,0.000610,-0.014893,1.004761
off,4271515,0.000854,-0.015015,1.004150
off,4271535,0.000366,-0.014038,1.004517
off,4271555,0.000854,-0.013794,1.003662
off,4271575,0.000366,-0.014526,1.003052
off,4271595,0.000244,-0.014893,1.003174
off,4271615,0.000610,-0.015015,1.003906
off,4271635,0.001221,-0.014771,1.004761
off,4271655,0.000366,-0.014893,1.004395
off,4271675,0.000732,-0.014404,1.003540
off,4271695,0.000732,-0.015747,1.003296
off,4271715,0.000732,-0.014893,1.004639
off,4271735,0.000000,-0.015259,1.004272
off,4271755,0.000732,-0.015259,1.004395
off,4271775,0.000122,-0.015015,1.004150
off,4271795,0.000732,-0.014526,1.003174
off,4271815,0.000000,-0.015137,1.005005
off,4271835,0.000610,-0.015625,1.004028
off,4271855,0.000366,-0.014282,1.004517
off,4271875,0.000122,-0.015503,1.004150
off,4271895,0.000366,-0.015381,1.003296
off,4271915,0.000244,-0.014526,1.004028
off,4271935,0.000488,-0.014282,1.004028
off,4271955,0.000732,-0.014648,1.003540
off,4271975,0.000610,-0.014893,1.004150
off,4271995,0.001221,-0.015259,1.003784
off,4272015,0.000488,-0.014404,1.003784
